[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[1:25:09.00]-[1:25:11.00]  Sí, sí, es por aquí.
[1:25:11.00]-[1:25:13.00]  Nosotros todas las mañanas,
[1:25:13.00]-[1:25:15.00]  antes de irnos a trabajar por ahí,
[1:25:15.00]-[1:25:17.00]  pero ya cansados y todo,
[1:25:17.00]-[1:25:19.00]  íbamos a ver al padre todas las mañanas.
[1:25:19.00]-[1:25:21.00]  De allí se le hemos despidido,
[1:25:21.00]-[1:25:23.00]  ¿tú dónde vas? Pues yo hasta sitio, tú,
[1:25:23.00]-[1:25:25.00]  yo hasta sitio, sí, todas las mañanas.
[1:25:25.00]-[1:25:27.00]  Íbamos a ver al padre,
[1:25:27.00]-[1:25:29.00]  de allí salíamos ya para...
[1:25:29.00]-[1:25:31.00]  para que pusiera su trabajo.
[1:25:31.00]-[1:25:33.00]  Pero cansados, eh.
[1:25:33.00]-[1:25:35.00]  ¿Cómo, para pedirle su...?
[1:25:35.00]-[1:25:37.00]  Pues nada, porque lo que estamos allí,
[1:25:37.00]-[1:25:39.00]  no podemos pedirle, porque tenemos la costumbre.
[1:25:39.00]-[1:25:41.00]  Todos los mañanas juntando allá
[1:25:41.00]-[1:25:43.00]  con el padre y ya está.
[1:25:43.00]-[1:25:45.00]  Por respeto del padre,
[1:25:45.00]-[1:25:47.00]  sí, de nuevo.
[1:25:47.00]-[1:25:49.00]  Ay, ay, ay.
[1:25:49.00]-[1:25:51.00]  Entonces, si alguno
[1:25:51.00]-[1:25:53.00]  siempre vio alguno un poco
[1:25:53.00]-[1:25:55.00]  un poco bronco,
[1:25:55.00]-[1:25:57.00]  dale, tira.
[1:25:57.00]-[1:25:59.00]  Date.
[1:25:59.00]-[1:26:01.00]  Ya vendrá.
[1:26:01.00]-[1:26:03.00]  Mañana pasaba el otro
[1:26:03.00]-[1:26:07.00]  y el otro padre nos va a ir con la oreja a amagar.
[1:26:07.00]-[1:26:09.00]  No, no, todo se ve que lástima.
[1:26:09.00]-[1:26:11.00]  Entonces,
[1:26:11.00]-[1:26:13.00]  entonces,
[1:26:13.00]-[1:26:15.00]  no es como ahora que...
[1:26:15.00]-[1:26:17.00]  Bah.
[1:26:17.00]-[1:26:19.00]  Yo siento por ahí algunos que dicen
[1:26:19.00]-[1:26:21.00]  a los padres perre de diez.
[1:26:21.00]-[1:26:23.00]  ¿Les hablan más?
[1:26:23.00]-[1:26:25.00]  No, no hablan más, mucho más.
[1:26:25.00]-[1:26:27.00]  Algunas.
[1:26:27.00]-[1:26:29.00]  Ahora, a todos no.
[1:26:29.00]-[1:26:31.00]  A todos una palabra más, hasta que un padre
[1:26:31.00]-[1:26:33.00]  nos venga con la oreja.
[1:26:33.00]-[1:26:35.00]  Ya, no sé.
[1:26:35.00]-[1:26:37.00]  Pero ¿por miedo?
[1:26:37.00]-[1:26:39.00]  Pues claro, miedo te confía,
[1:26:39.00]-[1:26:41.00]  porque te hubieras casado y te daba.
[1:26:41.00]-[1:26:43.00]  ¿Cómo?
[1:26:43.00]-[1:26:45.00]  ¡Oh!
[1:26:45.00]-[1:26:47.00]  Entonces,
[1:26:47.00]-[1:26:49.00]  es así.
[1:26:49.00]-[1:26:51.00]  Y usted ya con los suyos
[1:26:51.00]-[1:26:53.00]  ha sido más...
[1:26:53.00]-[1:26:55.00]  Pero ya, ando para.
[1:26:55.00]-[1:26:57.00]  Yo tengo
[1:26:57.00]-[1:26:59.00]  el hijo y la hija
[1:26:59.00]-[1:27:01.00]  y el nieto.
[1:27:01.00]-[1:27:03.00]  Y eso
[1:27:03.00]-[1:27:05.00]  a los días ocho, ocho y nueve años
[1:27:05.00]-[1:27:07.00]  y diez y todo,
[1:27:07.00]-[1:27:09.00]  sabían por la piña, sabían a los raros menos.
[1:27:09.00]-[1:27:11.00]  Eso no... Y sabían labrar.
[1:27:11.00]-[1:27:13.00]  No, no, son mejor.
[1:27:13.00]-[1:27:15.00]  Sí, sí, sí, sí. Los míos sí.
[1:27:15.00]-[1:27:17.00]  Los míos sí.
[1:27:17.00]-[1:27:19.00]  Que no les hace falta,
[1:27:19.00]-[1:27:21.00]  mejor probosaban.
[1:27:21.00]-[1:27:23.00]  Ahora que
[1:27:23.00]-[1:27:25.00]  claro a mí me está haciendo falta por la tierra
[1:27:25.00]-[1:27:27.00]  el payo.
[1:27:27.00]-[1:27:29.00]  Pues agarran, a veces se le van a escargar
[1:27:29.00]-[1:27:31.00]  dos metros, y probar
[1:27:31.00]-[1:27:33.00]  donde han estado.
[1:27:33.00]-[1:27:35.00]  Y allí mismo
[1:27:35.00]-[1:27:37.00]  están en el pozo, se ríen de trabajo
[1:27:37.00]-[1:27:39.00]  y otros se ven negros.
[1:27:39.00]-[1:27:41.00]  Pues no han estado acostumbrados
[1:27:41.00]-[1:27:43.00]  a hacer nada.
[1:27:43.00]-[1:27:45.00]  Que ellos se ríen de...
[1:27:45.00]-[1:27:47.00]  ¿Estamos?
[1:27:47.00]-[1:27:49.00]  Así es que mira a ver si
[1:27:49.00]-[1:27:51.00]  es una carrera buena o no.
[1:27:51.00]-[1:27:53.00]  Sí,
[1:27:53.00]-[1:27:55.00]  son dos, ¿no? Porque estudios también han estudiado.
[1:27:55.00]-[1:27:57.00]  ¡Hombre! ¡Ah, sí!
[1:27:57.00]-[1:27:59.00]  Me dijo que no quiso estudiar más,
[1:27:59.00]-[1:28:01.00]  se salió ya porque
[1:28:01.00]-[1:28:03.00]  mi nieto viene de mecánico.
[1:28:03.00]-[1:28:05.00]  Y las
[1:28:05.00]-[1:28:07.00]  tres nietas que tengo,
[1:28:07.00]-[1:28:09.00]  me traigo las tres.
[1:28:09.00]-[1:28:11.00]  ¡Qué bien!
[1:28:11.00]-[1:28:13.00]  Que las recogí
[1:28:13.00]-[1:28:15.00]  a mi casa, los cuatro
[1:28:15.00]-[1:28:17.00]  y mi hija,
[1:28:17.00]-[1:28:19.00]  que hasta acá tenía tres años.
[1:28:19.00]-[1:28:21.00]  Me las daba por
[1:28:21.00]-[1:28:23.00]  pequeñas, y luego les criaba a todos.
[1:28:23.00]-[1:28:25.00]  Fui a Francia y le hice una casa allí,
[1:28:25.00]-[1:28:27.00]  que aquello era un palacio.
[1:28:27.00]-[1:28:29.00]  Y el payo le dio un popobé
[1:28:29.00]-[1:28:31.00]  y por mala vida
[1:28:31.00]-[1:28:33.00]  y ya tuve que
[1:28:33.00]-[1:28:35.00]  abandonarlo porque
[1:28:35.00]-[1:28:37.00]  si las traje aquí,
[1:28:37.00]-[1:28:39.00]  yo siempre se creía
[1:28:39.00]-[1:28:41.00]  porque yo le iba a traer a la calle
[1:28:41.00]-[1:28:43.00]  fuera, que no iba a tener pa'
[1:28:43.00]-[1:28:45.00]  darle de comer.
[1:28:45.00]-[1:28:47.00]  Y un día le dije, digo,
[1:28:47.00]-[1:28:49.00]  que sepa,
[1:28:49.00]-[1:28:51.00]  me suenan de años pa' hacer
[1:28:51.00]-[1:28:53.00]  los cuatro hijos tuyos
[1:28:53.00]-[1:28:55.00]  y otros tantos más.
[1:28:55.00]-[1:28:57.00]  No vayas sabiendo, eh.
[1:28:57.00]-[1:28:59.00]  No te desgracias que
[1:28:59.00]-[1:29:01.00]  mi nieto es que
[1:29:01.00]-[1:29:03.00]  le era cargada a los tres
[1:29:03.00]-[1:29:05.00]  a la ciudad de Estudio,
[1:29:05.00]-[1:29:07.00]  y ya por pocos años
[1:29:07.00]-[1:29:09.00]  se murió.
[1:29:09.00]-[1:29:11.00]  Me ha chispado perdido
[1:29:11.00]-[1:29:13.00]  y abandonado.
[1:29:13.00]-[1:29:15.00]  Los cuatro o cinco días esos que estaban muertos en la casa.
[1:29:17.00]-[1:29:19.00]  Lo que ya sabía,
[1:29:19.00]-[1:29:21.00]  antes le pusimos más de 30 denuncias.
[1:29:21.00]-[1:29:23.00]  Dando porrazo
[1:29:23.00]-[1:29:25.00]  a cualquier hora de la noche y...
[1:29:25.00]-[1:29:27.00]  Mira, un desastre. Un desastre.
[1:29:29.00]-[1:29:31.00]  Así que, mejor se criaron
[1:29:31.00]-[1:29:33.00]  con usted. Sí, los hijos se han llevado todos conmigo.
[1:29:33.00]-[1:29:35.00]  Eso los he llevado todos.
[1:29:37.00]-[1:29:39.00]  Muy bien, pues son dos carreras,
[1:29:39.00]-[1:29:41.00]  la del campo y la de los estudios. Sí, sí, sí.
[1:29:41.00]-[1:29:43.00]  Eso no lo he puesto yo,
[1:29:43.00]-[1:29:45.00]  por eso mejor ya los estudios rares.
[1:29:45.00]-[1:29:47.00]  Estudiando y me ayudaban
[1:29:47.00]-[1:29:49.00]  a la tierra todo lo que podían.
[1:29:49.00]-[1:29:51.00]  La criatura.
[1:29:51.00]-[1:29:53.00]  Había aquí el cogerla al menos,
[1:29:53.00]-[1:29:55.00]  había aquí
[1:29:55.00]-[1:29:57.00]  la viña de reforzamiento,
[1:29:57.00]-[1:29:59.00]  a lo que fuera. Estamos dispuestos
[1:29:59.00]-[1:30:01.00]  con estar cargados por las aries.
[1:30:01.00]-[1:30:03.00]  Vamos.
[1:30:03.00]-[1:30:05.00]  Claro, mira ve si
[1:30:05.00]-[1:30:07.00]  si es que su padre es el que me ha sacado.
[1:30:09.00]-[1:30:11.00]  Que si me es que eso me quieren,
[1:30:11.00]-[1:30:13.00]  pues darte cuenta.
[1:30:13.00]-[1:30:15.00]  Más que quiero los hijos
[1:30:15.00]-[1:30:17.00]  a los padres me quieren esa a mi.
[1:30:19.00]-[1:30:21.00]  Han pasado faltas de nada, gracias a Dios,
[1:30:21.00]-[1:30:23.00]  ha sacado sus carreras
[1:30:23.00]-[1:30:25.00]  sin pegar ninguna de una clase
[1:30:25.00]-[1:30:27.00]  y ya está. Mira ve.
[1:30:27.00]-[1:30:29.00]  Mira si es poco eso.
[1:30:33.00]-[1:30:35.00]  Y mi hija, pues ahí está en mi casa y
[1:30:35.00]-[1:30:37.00]  pues ella es muy mía.
[1:30:39.00]-[1:30:41.00]  Vaya, pues nada, es así.
[1:30:41.00]-[1:30:43.00]  ¿Y antes cómo eran los partos?
[1:30:43.00]-[1:30:45.00]  ¿Los partos eran en casa?
[1:30:45.00]-[1:30:47.00]  ¿Cómo?
[1:30:47.00]-[1:30:49.00]  ¿Los partos eran en casa?
[1:30:49.00]-[1:30:51.00]  ¿Para tener hijos?
[1:30:51.00]-[1:30:53.00]  La mujer, sí.
[1:30:53.00]-[1:30:55.00]  El hijo y la hija en mi casa.
[1:30:55.00]-[1:30:57.00]  ¿Y venía el médico?
[1:30:57.00]-[1:30:59.00]  Qué va.
[1:30:59.00]-[1:31:01.00]  Había una mujer aquí que se cuidaba, una mujer vieja.
[1:31:03.00]-[1:31:05.00]  No mujer.
[1:31:05.00]-[1:31:07.00]  Entonces aquí no había...
[1:31:07.00]-[1:31:09.00]  ¿Y cómo la llamaban?
[1:31:09.00]-[1:31:11.00]  ¿A quién?
[1:31:11.00]-[1:31:13.00]  A la mujer Teresa.
[1:31:13.00]-[1:31:15.00]  Le decían.
[1:31:15.00]-[1:31:17.00]  Vaya, pues se llamaba
[1:31:17.00]-[1:31:19.00]  y pues ya está lo con la luz allá
[1:31:19.00]-[1:31:21.00]  hasta que tuviera...
[1:31:21.00]-[1:31:23.00]  Pero qué peligroso, sin el médico, ¿no?
[1:31:23.00]-[1:31:25.00]  Sin el médico, no te digo.
[1:31:25.00]-[1:31:27.00]  Entonces,
[1:31:27.00]-[1:31:29.00]  adelante ya, pues todavía había un médico
[1:31:29.00]-[1:31:31.00]  y ya
[1:31:31.00]-[1:31:33.00]  se van a lo que a tener crías
[1:31:33.00]-[1:31:35.00]  que aquí ya no la tienen, pues.
[1:31:35.00]-[1:31:41.00]  Entonces, aquí la casa.
